"suburb","postcode","state","lat","lng"
"Aarons Pass","2850","NSW","-32.87459","149.80486"
"Abbotsbury","2176","NSW","-33.86513","150.85951"
"Abbotsford","2046","NSW","-33.85052","151.12987"
"Abercrombie","2795","NSW","-33.39205","149.55367"
"Abercrombie River","2795","NSW","-33.91177","149.33265"
"Aberdare","2325","NSW","-32.84063","151.38129"
"Aberdeen","2336","NSW","-32.17047","150.89765"
"Aberfoyle","2350","NSW","-30.23695","151.98519"
"Aberglasslyn","2320","NSW","-32.69356","151.53177"
"Abermain","2326","NSW","-32.82298","151.43614"
"Abernethy","2325","NSW","-32.88591","151.40181"
"Abington","2350","NSW","-30.32674","151.24062"
"Acacia Creek","2476","NSW","-28.37642","152.31973"
"Acacia Gardens","2763","NSW","-33.73411","150.91377"
"Adaminaby","2629","NSW","-36.00745","148.78214"
"Adamstown","2289","NSW","-32.93921","151.72549"
"Adamstown Heights","2289","NSW","-32.9488","151.7097"
"Adelong","2729","NSW","-35.30659","148.06927"
"Adjungbilly","2727","NSW","-35.03154","148.42182"
"Afterlee","2474","NSW","-28.56954","152.82553"
"Agnes Banks","2753","NSW","-33.61656","150.6991"
"Airds","2560","NSW","-34.08593","150.83302"
"Akolele","2546","NSW","-36.34959","150.0749"
"Albert","2873","NSW","-32.38077","147.4763"
"Albion Park","2527","NSW","-34.58251","150.77615"
"Albion Park Rail","2527","NSW","-34.56165","150.79704"
"Albury","2640","NSW","-36.07352","146.91573"
"Aldavilla","2440","NSW","-31.07286","152.76022"
"Alectown","2870","NSW","-32.91304","148.26112"
"Alexandria","2015","NSW","-33.9082","151.19191"
"Alfords Point","2234","NSW","-33.98789","151.02589"
"Alfredtown","2650","NSW","-35.15454","147.53906"
"Alice","2469","NSW","-29.05472","152.58904"
"Alison","2259","NSW","-33.26943","151.39805"
"Alison","2420","NSW","-32.43396","151.77304"
"Allambie Heights","2100","NSW","-33.7702","151.24964"
"Allandale","2320","NSW","-32.72469","151.41344"
"Allawah","2218","NSW","-33.97295","151.11424"
"Alleena","2671","NSW","-34.09228","147.13518"
"Allgomera","2441","NSW","-30.81869","152.8058"
"Allworth","2425","NSW","-32.54441","151.94041"
"Allynbrook","2311","NSW","-32.34998","151.55131"
