"price","dateSold","address","suburb","state","beds","baths","parking","propertyType","landSize"
"1140000","2023-09-12","1/12 Ikkina Road BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","1","SemiDetached","0"
"1550000","2023-08-29","14 Plantation Road BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","1428"
"1060000","2023-10-17","23 Glauca Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","0"
"910000","2023-09-11","2/3 Kingia Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","Duplex","0"
"3020000","2023-09-13","57 George Street Central BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","SemiDetached","530"
"2330000","2023-09-20","94 Skyline Terrace BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","5","House","966"
"3800000","2023-09-15","39 Acanthus Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","2","4","House","809"
"850000","2023-09-11","1/24 Ardisia Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","4","House","0"
"1765000","2023-09-27","11 View Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","250"
"2905000","2023-10-05","10 Burleigh Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","2","1","5","House","812"
"3650000","2023-10-22","42 Ewart Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","2","2","3","House","614"
"1200000","2023-10-26","1/95 Hill Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","SemiDetached","0"
"1580000","2023-12-03","9 Reserve Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","2","2","House","506"
"4750000","2023-11-10","26 Wairoo Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","6","6","6","House","1075"
"1234000","2023-11-16","31 Cowell Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","2","2","House","603"
"1670000","2023-11-05","2/5 Ferny Fairway BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","SemiDetached","0"
"2375000","2023-11-24","24 Elanora Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","1","House","604"
"1700000","2023-11-04","42 Aruma Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","1","2","House","606"
